tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0096635,4,83,0,Life Goes On,1989,1993,0,7.1,2820
tt0096642,4,26,0,Maid Marian and Her Merry Men,1989,1994,0,7.8,1545
tt0096643,4,96,0,Major Dad,1989,1993,0,6.5,3106
tt0096694,4,86,0,Saved by the Bell,1989,1992,0,7.1,36677
tt0096732,3,68,0,The Young Riders,1989,1992,0,7.7,2337
tt0098737,2,52,0,Alfred J. Kwak,1989,1991,0,7.8,2543
tt0098752,2,21,0,Bill & Ted's Excellent Adventures,1990,1991,0,6.4,1875
tt0098765,3,9,0,The Case-Book of Sherlock Holmes,1991,1993,0,8.7,6025
tt0098790,4,99,0,Evening Shade,1990,1994,0,7,1508
tt0098802,2,36,0,Get a Life,1990,1992,0,8.1,2890
tt0098803,2,24,0,The Girl from Tomorrow,1991,1992,0,7.9,1275
tt0098817,2,13,0,Harry Enfield's Television Programme,1990,1992,0,7.3,1963
tt0098818,3,72,0,Harry and the Hendersons,1991,1993,0,5.6,1442
tt0098833,4,23,0,Jeeves and Wooster,1990,1993,0,8.5,12940
tt0098888,3,73,0,Parker Lewis Can't Lose,1990,1993,0,7.9,6032
tt0098919,3,72,0,Swamp Thing,1990,1993,0,6.3,1042
tt0098929,3,102,0,Tiny Toon Adventures,1990,1995,0,7.5,13951
tt0098936,2,30,0,Twin Peaks,1990,1991,0,8.8,208315
tt0098957,4,89,0,Zorro,1990,1993,0,6.8,1904
tt0101042,2,26,0,Back to the Future,1991,1993,0,6.3,1762
tt0101049,4,26,0,A Bit of Fry and Laurie,1987,1995,0,8.3,9791
tt0101076,2,91,0,Darkwing Duck,1991,1992,0,7.6,17254
tt0101077,3,20,0,The Darling Buds of May,1991,1993,0,7.8,2371
tt0101081,4,65,0,Dinosaurs,1991,1994,0,7.5,20961
tt0101115,3,72,0,Herman's Head,1991,1994,0,7.1,2462
tt0101121,2,42,0,Homefront,1991,1993,0,8.9,1344
tt0101123,3,34,0,The House of Eliott,1991,1994,0,8,1557
tt0101169,3,21,0,The Pirates of Dark Water,1991,1992,0,8.3,2803
tt0101184,3,72,0,Roc,1991,1994,0,7.4,1807
tt0101190,2,26,0,Salute Your Shorts,1991,1992,0,8.3,5948
tt0101226,3,66,0,Sweating Bullets,1991,1993,0,7.6,1887
tt0103359,4,85,0,Batman: The Animated Series,1992,1995,0,9,111835
tt0103376,3,18,0,Bottom,1991,1995,0,8.3,13780
tt0103417,3,70,0,Forever Knight,1992,1996,0,7.6,2966
tt0103429,2,12,0,Grace & Favour,1992,1993,0,7.7,1436
tt0103460,4,88,0,Kung Fu: The Legend Continues,1993,1997,0,6.5,2561
tt0103477,3,31,0,The Little Mermaid,1992,1994,0,6.7,5862
tt0103512,4,88,0,Picket Fences,1992,1996,0,7.8,4952
tt0103529,4,52,0,Round the Twist,1989,2001,0,8,2774
tt0103559,3,40,0,Street Sharks,1994,1997,0,6.2,2797
tt0103586,2,28,0,The Young Indiana Jones Chronicles,1992,1993,0,7.2,8446
tt0105559,3,71,0,Tenchi Muyô!,1992,2005,0,7.6,2193
tt0105928,2,26,0,2 Stupid Dogs,1993,1995,0,7.2,4516
tt0105933,3,39,0,The Adventures of Pete & Pete,1992,1996,0,8.4,9812
tt0105935,2,86,0,Aladdin,1994,1995,0,7.3,12520
tt0105977,4,25,0,Cracker,1993,1996,0,8.5,7516
tt0106039,4,84,0,The John Larroquette Show,1993,1996,0,7.2,1183
tt0106057,4,87,0,Lois & Clark: The New Adventures of Superman,1993,1997,0,6.7,25668
tt0106064,3,156,0,Mighty Morphin Power Rangers,1993,1996,0,6.5,24203
tt0106115,4,53,0,Rocko's Modern Life,1993,1996,0,7.9,21251
tt0106126,3,57,0,SeaQuest DSV,1993,1996,0,6.7,7522
tt0106135,2,12,0,The Smell of Reeves and Mortimer,1993,1995,0,7.8,1062
tt0106140,2,26,0,Sonic the Hedgehog,1993,1994,0,6.8,5378
tt0106154,2,43,0,Time Trax,1993,1994,0,7,1499
tt0106367,4,91,0,Beakman's World,1992,1997,0,8.6,2888
tt0106842,2,52,0,Exosquad,1993,1995,0,8.4,1239
tt0107221,2,12,0,Maigret,1992,1993,0,7.8,1037
tt0108684,4,52,0,Aaahh!!! Real Monsters,1994,1997,0,7.2,12250
tt0108717,4,13,0,Cadfael,1994,1998,0,8.1,2964
tt0108723,3,20,0,Chef!,1993,1996,0,8.1,1500
tt0108725,2,20,0,Christy,1994,1995,0,7.7,1353
tt0108734,3,33,0,The Critic,1994,2001,0,7.9,8888
tt0108755,4,71,0,Duckman: Private Dick/Family Man,1994,1997,0,7.8,6519
tt0108756,4,67,0,Due South,1994,1999,0,8.1,7354
tt0108771,3,27,0,The Fast Show,1994,2014,0,8.2,5067
tt0108780,3,39,0,Frontline,1994,1997,0,8.7,1315
tt0108783,3,78,0,Gargoyles,1994,1997,0,8,17917
tt0108787,3,75,0,Ghostwriter,1992,1995,0,7.9,2718
tt0108796,2,15,0,Harry Enfield and Chums,1994,1999,0,7.5,3377
tt0108799,2,21,0,The Head,1994,1996,0,6.9,1321
tt0108847,4,52,0,The Magic School Bus,1994,1997,0,7.8,10785
tt0108876,4,95,0,New York Undercover,1994,2024,0,7.9,2844
tt0108885,4,78,0,Ocean Girl,1994,1997,0,7.3,1959
tt0108895,2,60,0,The Pink Panther,1993,1996,0,6.8,1616
tt0108903,4,47,0,ReBoot,1994,2001,0,7.9,5686
tt0108906,3,13,0,Riget,1994,2022,0,8.2,19961
tt0108921,4,78,0,The Secret World of Alex Mack,1994,1998,0,7.5,5484
tt0108947,4,50,0,Svensson Svensson,1994,2008,0,6.8,1691
tt0108949,4,88,0,Sweet Valley High,1994,1998,0,5.8,1904
tt0108962,2,4,0,To Play the King,1993,1993,0,8.3,4402
