tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0106017,5,112,1,Grace Under Fire,1993,1998,1,6.4,4346
tt0106028,7,122,1,Homicide: Life on the Street,1993,1999,1,8.7,13609
tt0106052,9,2766,1,Late Night with Conan O'Brien,1993,2009,1,8.2,18659
tt0106053,9,6693,1,Late Show with David Letterman,1993,2015,1,7,14106
tt0106056,5,119,1,Living Single,1993,1998,1,7.6,6282
tt0106072,8,141,1,Mot i brøstet,1993,1997,1,6.4,1135
tt0106079,9,261,1,NYPD Blue,1993,2005,1,7.7,15579
tt0106080,6,145,1,The Nanny,1993,1999,1,7.1,47128
tt0106099,5,68,1,La petite vie,1993,2023,1,8.6,1163
tt0106102,5,40,1,Pie in the Sky,1994,1997,1,7.7,1949
tt0106110,5,65,1,Ready or Not,1993,1997,1,6.8,2539
tt0106123,7,143,1,Saved by the Bell: The New Class,1993,2000,1,3.9,2202
tt0106131,8,70,1,Shooting Stars,1993,2011,1,7.7,2767
tt0106145,7,173,1,Star Trek: Deep Space Nine,1993,1999,1,8.1,68276
tt0106168,9,196,1,"Walker, Texas Ranger",1993,2001,1,5.6,18196
tt0106172,5,296,1,Where in the World Is Carmen Sandiego?,1991,1996,1,7.6,2894
tt0106179,9,217,1,The X Files,1993,2018,1,8.6,239951
tt0108709,9,510,1,Blue Heelers,1994,2006,1,7,1593
tt0108724,6,141,1,Chicago Hope,1994,2000,1,6.8,4544
tt0108757,9,331,1,ER,1994,2009,1,7.9,65360
tt0108761,5,108,1,Ellen,1994,1998,1,6.1,6156
tt0108778,9,234,1,Friends,1994,2004,1,8.9,1048099
tt0108800,7,210,1,Heartbreak High,1994,1999,1,7.8,3449
tt0108826,6,27,1,Kavanagh QC,1995,2001,1,7.7,1023
tt0108829,9,119,1,Kommissar Rex,1994,2004,1,7.1,6007
tt0108894,6,143,1,Party of Five,1994,2000,1,6.8,10948
tt0108897,9,2267,1,Politically Incorrect,1993,2002,1,6.7,1386
tt0108927,6,119,1,"Sister, Sister",1994,1999,1,6.3,13400
tt0108937,9,117,1,Space Ghost Coast to Coast,1993,2012,1,7.9,7544
tt0108961,9,303,1,Time Team,1994,Ongoing,1,8.5,1689
tt0108967,9,42,1,A Touch of Frost,1992,2010,1,7.9,8416
tt0108968,9,211,1,Touched by an Angel,1994,2003,1,6,7718
tt0108988,5,88,1,Weird Science,1994,1998,1,6.8,3929
tt0108992,5,38,1,Wycliffe,1993,1998,1,7.2,1007
tt0111875,9,216,1,All That,1994,2020,1,7.5,8100
tt0111887,9,124,1,Baantjer,1995,2006,1,7.1,1344
tt0111942,6,81,1,"Dr. Katz, Professional Therapist",1995,2002,1,7.6,5907
tt0111945,9,233,1,The Drew Carey Show,1995,2004,1,6.9,18839
tt0111973,5,65,1,Fushigi Yûgi,1995,2002,1,7.8,1040
