tconst,num_seasons,num_episodes,long
tt0052484,3,47,0
tt0052485,2,78,0
tt0052486,1,18,0
tt0052487,1,37,0
tt0052488,2,78,0
tt0052489,1,1,0
tt0052490,4,148,0
tt0052491,1,59,0
tt0052492,1,26,0
tt0052493,1,38,0
tt0052494,1,34,0
tt0052496,1,39,0
tt0052497,1,39,0
tt0052498,1,40,0
tt0052500,1,14,0
tt0052501,1,26,0
tt0052503,2,12,0
tt0052504,8,217,1
tt0052505,2,76,0
tt0052506,2,44,0
tt0052507,5,163,1
tt0052508,2,78,0
tt0052509,1,6,0
tt0052511,1,33,0
tt0052512,1,36,0
tt0052514,1,49,0
tt0052515,5,77,1
tt0052516,1,39,0
tt0052517,1,37,0
tt0052518,1,8,0
tt0052519,1,26,0
tt0052520,5,156,1
tt0052522,4,119,0
tt0052523,3,21,0
tt0052524,1,8,0
tt0052525,1,26,0
tt0053477,2,177,0
tt0053478,1,5,0
tt0053479,8,249,1
tt0053480,1,33,0
tt0053481,1,32,0
tt0053482,1,39,0
tt0053483,1,37,0
tt0053485,1,39,0
tt0053486,4,104,0
tt0053487,1,36,0
tt0053488,3,78,0
tt0053489,7,153,1
tt0053490,1,44,0
tt0053491,2,70,0
tt0053492,3,32,0
tt0053493,2,256,0
tt0053494,1,10726,0
tt0053495,1,13,0
tt0053496,1,39,0
tt0053497,1,26,0
tt0053498,1,9,0
tt0053499,9,118,1
tt0053501,1,6,0
tt0053502,6,167,1
tt0053504,1,188,0
tt0053505,1,38,0
tt0053506,2,26,0
tt0053507,1,34,0
tt0053508,1,27,0
tt0053509,1,39,0
tt0053510,1,277,0
tt0053511,1,25,0
tt0053512,2,17,0
tt0053513,1,39,0
tt0053514,1,20,0
tt0053515,1,182,0
tt0053516,1,17,0
tt0053517,2,46,0
tt0053518,1,30,0
tt0053520,2,40,0
tt0053521,1,32,0
tt0053522,1,26,0
tt0053523,1,7,0
tt0053524,1,27,0
tt0053525,9,380,1
tt0053526,2,58,0
tt0053527,2,50,0
tt0053528,1,17,0
tt0053529,2,72,0
tt0053530,1,32,0
tt0053531,1,14,0
tt0053533,2,45,0
tt0053534,4,116,0
tt0053535,1,137,0
tt0053536,1,38,0
tt0053537,1,38,0
tt0053538,1,6,0
tt0053539,1,18,0
tt0053540,2,74,0
tt0053542,1,32,0
tt0053543,1,39,0
tt0053544,2,75,0
tt0053545,1,13,0
tt0053546,2,67,0
tt0053547,1,33,0
tt0053548,1,27,0
tt0053551,1,13,0
tt0053553,1,16,0
tt0053554,1,13,0
tt0054134,3,19,0
tt0054510,1,30,0
tt0054511,1,7,0
tt0054512,1,8,0
tt0054513,2,60,0
tt0054514,1,26,0
tt0054515,1,17,0
tt0054517,1,13,0
tt0054518,7,161,1
tt0054519,5,153,1
tt0054521,1,22,0
tt0054522,1,31,0
tt0054525,1,26,0
